REF_DATE,Age group,VALUE
2019,45 to 54 years,62800.0
2019,55 to 64 years,46300.0
2020,25 to 34 years,46900.0
2020,35 to 44 years,61100.0
2020,45 to 54 years,61900.0
2020,55 to 64 years,46000.0
2021,25 to 34 years,50400.0
2021,35 to 44 years,63900.0
2021,45 to 54 years,65000.0
2021,55 to 64 years,49500.0
2022,25 to 34 years,49200.0
2022,35 to 44 years,62700.0
2022,45 to 54 years,65400.0
2022,55 to 64 years,51100.0
2023,25 to 34 years,50000.0
2023,35 to 44 years,62300.0
2023,45 to 54 years,66200.0
2023,55 to 64 years,51300.0
2024,25 to 34 years,49400.0
2024,35 to 44 years,62800.0
2024,45 to 54 years,67500.0
2024,55 to 64 years,52700.0
